State,Dem,Rep
Alabama,37,63
Alaska,34,62
Arizona,44,55
Arkansas,45,54
California,54,45
Colorado,46,53
Connecticut,54,44
Delaware,53,46
District of Columbia,90,9
Florida,47,52
Georgia,41,59
Hawaii,55,44
Idaho,29,69
Illinois,55,44
Indiana,39,60
Iowa,49,50
Kansas,36,63
Kentucky,40,60
Louisiana,42,57
Maine,53,45
Maryland,56,43
Massachusetts,62,37
Michigan,51,48
Minnesota,52,47
Mississippi,40,60
Missouri,46,54
Montana,39,59
Nebraska,32,67
Nevada,48,51
New Hampshire,50,49
New Jersey,53,46
New Mexico,49,50
New York,58,40
North Carolina,43,57
North Dakota,36,63
Ohio,49,51
Oklahoma,34,66
Oregon,53,47
Pennsylvania,51,49
Rhode Island,60,39
South Carolina,41,58
South Dakota,38,61
Tennessee,43,57
Texas,38,61
Utah,26,72
Vermont,59,39
Virginia,46,54
Washington,53,46
West Virginia,43,56
Wisconsin,50,49
Wyoming,29,69
